Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;neutral;Kein Weltkrieg ohne Deutschland!
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Wir als Gerechtigkeitspartei setzen auf kluge Diplomatie und konstruktive Verhandlungen, um Konflikte zu lösen. Waffenlieferungen in Kriegs- und Krisengebiete lehnen wir strikt ab. Wir glauben an den Dialog und an friedliche Lösungen, um langfristigen Frieden zu sichern. Unsere Politik setzt auf Zusammenarbeit und den Schutz von Menschenleben, statt auf militärische Eskalation.
13;PIRATEN;Piratenpartei Deutschland;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Wir PIRATEN verurteilen den russischen Überfall und den russischen Angriffskrieg auf die Ukraine. Der Ukraine muss mit allen zur Verfügung stehenden Mitteln Unterstützung (z.B. Waffenlieferungen schwerer Waffen) gewährt werden.
14;Volt;Volt Deutschland;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Volts Lösungen setzen auf ein starkes Europa und die militärische Unterstützung der Ukraine.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Im Falle des völkerrechtswidrigen Angriffskrieges sieht die ÖDP eine moralische Pflicht, der Ukraine mit Waffenlieferungen zur Seite zu stehen. Die Sanktionen gegen Russland müssen jedoch vollumfänglich umgesetzt und die Lieferung fossiler Energien wirksam unterbunden werden, beides ist derzeit nicht der Fall. Gleichzeitig brauchen wir diplomatische Gespräche und schließlich Verhandlungen, um diesen Krieg möglichst schnell zu beenden.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Dem Völkerrecht nach hat jede Nation das Recht, sich selbst zu verteidigen und ihre Souveränität zu schützen. Die Ukraine gebietet der imperialistischen Aggression Russlands Einhalt und verteidigt damit auch die Freiheit ganz Europas. Dafür steht Deutschland als starke, freiheitliche Demokratie in der moralischen Verantwortung, der Ukraine finanzielle und militärische Unterstützung zu gewährleisten. Dies beinhaltet auch und vor allem die Lieferung schwerer Waffen.
18;Bündnis C;Bündnis C - Christen für Deutschland;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;neutral;
19;BP;Bayernpartei;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;neutral;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Ein klares Nein zu Waffenlieferungen für alle ungerechten Kriege von NATO/EU/Ukraine und Russland! Aktiver Widerstand gegen die Weltkriegsgefahr! Für Frieden und Völkerfreundschaft!
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Wir setzten uns für massive diplomatische Unterstützung der Ukraine ein. Um nachhaltigen Frieden, Freiheit und Selbstbestimmung aller beteiligten Menschen dort zu schaffen, sind Verhandlungen absolut notwendig. Waffenlieferungen tragen zu weiteren Qualen und Sterben zehntausender von Menschen bei. Sie haben nicht zum Wohl der Ukrainer geführt.
22;PdF;Partei des Fortschritts;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme zu;Die Ukraine muss mit den erforderlichen Mitteln ausgestattet werden, um sowohl die Sicherheit ihrer Bevölkerung als auch die territoriale Integrität zu gewährleisten. Die Waffenlieferungen an die Ukraine müssen ohne jede Restriktion erfolgen. Nur so kann sich die Ukraine effektiv gegen die russische Aggression verteidigen.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Mit den Waffenlieferungen will Deutschland die Ukraine kontrollieren und Russland militärisch unterwerfen. Sie haben Putins reaktionären Einmarsch zu diesem Zweck bewusst provoziert. 80 Jahre nach dem Vernichtungskrieg der Nazis gegen die Sowjetunion rollen deutsche Panzer wieder gegen Russland und riskieren einen Atomkrieg. Dieser Wahnsinn kann nur durch die Mobilisierung der Arbeiter auf der ganzen Welt gegen die Wurzel des Kriegs, den Kapitalismus, gestoppt werden.
24;BüSo;Bürgerrechtsbewegung Solidarität;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Das Sterben muß ein Ende haben. Die Waffenlieferungen haben den Krieg nur verlängert. Wir brauchen dringend diplomatische Lösungen, und ein Ende der geopolitischen Konfrontation zwischen West und Ost, die uns in einem Dritten, atomaren Weltkrieg treiben kann.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;neutral;Der bisherige Umfang hat nicht erreicht, dass ukrainisches Territorium oder Menschenleben gerettet werden. BÜNDNIS DEUTSCHLAND fordert den Vorrang der Diplomatie vor dem Krieg. Die Verteidigung der Ukraine folgt dem Artikel 51 der UN-Charta, und auch die bisherige Unterstützung durch die Bundesrepublik Deutschland folgt dem Geist des Artikels. Diplomatie und Verhandlung auf Augenhöhe sind das Gebot der Stunde, um eine globale Katastrophe zu verhindern.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Die Forderung nach Frieden verkennt nicht die brutale militärische Intervention, die Verbrechen gegen die Zivilbevölkerung und die enorme materielle Zerstörung durch Putins Angriffskrieg. Unsere Ziele der Demokratisierung, der Entmilitarisierung und des Friedens müssen mit einer pragmatischen Herangehensweise an die aktuelle Situation einhergehen: Sofortiger Waffenstillstand, gegenseitiges Nichtangriffsprotokoll, Grundlage des nordirischen Karfreitagsabkommens, UN-vermittelte Verhandlungen.
28;WerteUnion;WerteUnion;1;Unterstützung der Ukraine;Deutschland soll die Ukraine weiterhin militärisch unterstützen.;stimme nicht zu;Der Krieg Russlands in der Ukraine ist völkerrechtswidrig. Deutsche Außenpolitik muss dennoch der Diplomatie Raum geben. Deutschland ist im Besonderen gefordert, diplomatische Wege zur Beendigung von Konflikten zu finden, um eine dauerhafte Befriedung in Europa im Allgemeinen und im Osten des Kontinents im Besonderen zu erreichen.
1;SPD;Sozialdemokratische Partei Deutschlands;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Der konsequente Ausbau von und Umstieg auf erneuerbare Energien sowie die Einbindung von Speichern macht Energieversorgung sicher und dauerhaft bezahlbar. Wir wollen mit Augenmaß fördern: Gerade bisher weniger beachtete Erneuerbare wie etwa die Geothermie brauchen weiterhin gezielte Förderung. Perspektivisch sollen erneuerbare Energien wie Windkraft oder Sonnenenergie aber auch ohne staatliche Förderung auskommen.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Wir bringen alle Kapazitäten ans Netz, die klimafreundlich und systemdienlich sind, angefangen bei einem zielgerichteten weiteren Ausbau der Erneuerbaren Energien. Ein besonderes Augenmerk legen wir auf den integrierten und grenzüberschreitenden Netzausbau sowie auf eine effiziente Verknüpfung des Ausbaus von Erneuerbaren Energien, Netzen und Speichern. Dafür wollen wir auch mehr privates Kapital gewinnen.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Günstiger Strom aus erneuerbaren Energien wie Wind, Sonne, Wasserkraft, Geothermie sowie naturverträgliche Bioenergie sichern unseren Wohlstand. Wir halten Kurs mit dem erreichten Rekord-Ausbautempo. Dazu werden wir auch in Zukunft dezentrale Erzeuger von Solar- und Windenergie sowie Speicher, Elektrolyseure durch Bürokratieabbau und Planungssicherheit unterstützen. So sichern wir rentable Geschäftsmodelle, beispielsweise für Stadtwerke, Energiegenossenschaften und landwirtschaftliche Betriebe.
4;FDP;Freie Demokratische Partei;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Wir wollen die erneuerbaren Energien marktwirtschaftlich stärken. Da auf diese bereits mehr als 60 Prozent der Stromproduktion entfallen, sind die EEG-Subventionen für neue Anlagen nicht mehr gerechtfertigt. Eine Vergütung am Markt gewährleistet, dass Photovoltaik- und Windkraftanlagen nur bei genügend Netz- und Speicherkapazitäten gebaut werden. Wir lehnen gesetzlich vorgegebene Ausbaupfade für einzelne Technologien und staatlich garantierte Abnahmepreise ab.
5;AfD;Alternative für Deutschland;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Volatilen Energien destabilisieren das Stromnetz, gefährden die Versorgungssicherheit, erzeugen hohe Netzkosten und beschränken unsere Wettbewerbsfähigkeit massiv. Sie zerstören die Natur, u. A. durch Flächenbedarf. Die AfD wird den Dreiklang der Energieversorgung aus Versorgungssicherheit, Wirtschaftlichkeit und Umweltschutz wieder herstellen. Zukünftig müssen Anlagen zur Erzeugung „Erneuerbarer Energien“ Umweltverträglichkeit und ökonomischen Nutzen nachweisen. Das EEG wird gestrichen.
6;Die Linke;Die Linke;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Der größte Teil unserer zukünftigen Energieversorgung muss erst noch gebaut werden. Die öffentliche Hand soll sich stark am Aufbau der erneuerbaren Energien beteiligen, auch um so große Teile der Energieproduktion in öffentliche Hand zurückzuholen. Das wollen wir nutzen, um Windrad- und Solarfabriken (wieder) in Deutschland anzusiedeln.
7;SSW;Südschleswigscher Wählerverband;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Unser Energiesystem muss auf erneuerbaren Energien wie Sonne und Wind basieren, statt weiter auf fossile Brennstoffe wie Kohle, Öl und Gas zu setzen. Wir wollen Erneuerbare Energien überall dort fördern, wo es sinnvoll ist.
8;FREIE WÄHLER;FREIE WÄHLER;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Die Wirtschaft und die Digitalisierung verschiedener Lebensbereiche brauchen eine stabile, kostengünstige und nachhaltige Energieversorgung. Wir stehen für ein verlässliches, flexibles Energieversorgungssystem. Wir wollen die dezentrale Energiegewinnung aus regenerativen Quellen klimagerecht ausbauen.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Der Ausbau erneuerbarer Energien ist eine zentrale Maßnahme zur Bekämpfung des Klimawandels. Wir setzen uns für eine konsequente Förderung durch den Staat ein, um eine klimafreundliche Energieversorgung sicherzustellen. Dabei müssen sozial schwächere Menschen bei der Umstellung auf erneuerbare Energien besonders unterstützt werden.
10;dieBasis;Basisdemokratische Partei Deutschland;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Die Erneuerbaren haben bereits einen hohen Anteil im deutschen Energiemix, der unter Berücksichtigung aller Aspekte des Zieldreiecks kaum noch gesteigert werden kann. dieBasis ist daher auch für unkonventionelle Lösungen offen und setzt sich für mehr Forschung und Investition in andere zukunftsorientierte Energiequellen und Verfahren ein, z. B. in synthetische Kraftstoffe, Dual-Fluid-Reaktoren oder in die Nutzung von Abfällen, Geothermie und Flusswasser.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Nicht nur das: Die Energieinfrastruktur ist, genau wie Telekommunikation und Versorgungswege, von höchster Sensibilität und Wichtigkeit für das Bestehen einer Gesellschaftsform und gehört damit komplett in staatliche Hand. Mit Die PARTEI wird alles so billig, wie noch nie!
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Der Übergang zu erneuerbaren Energien ist ein zentraler Bestandteil der Klimapolitik unserer Partei – jedoch muss er klug und vorausschauend gestaltet werden. Wir setzen auf innovative Lösungen, die sowohl ökologische Nachhaltigkeit als auch wirtschaftliche Effizienz fördern. Nur durch eine gut durchdachte Strategie können wir die Energiewende erfolgreich und zukunftsfähig gestalten.
13;PIRATEN;Piratenpartei Deutschland;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Die Energieversorgung soll so schnell wie möglich auf nachhaltige Quellen umgestellt werden. Die Energieversorgung mit erneuerbaren Energien ist auch billiger und erlaubt die Teilhabe der Bürger, angefangen vom Balkonkraftwerk, bis hin zur Beteiligung an regionalen Anlagen.
14;Volt;Volt Deutschland;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Volts Lösungen für echten Klimaschutz beinhalten die finanzielle Förderung erneuerbarer Energie.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Da erneuerbare Energien sehr günstig sind, muss ihr Ausbau vorrangig durch geeignete Marktregeln gefördert werden. Die finanzielle Förderung des Staates muss vorrangig Kommunen und Energiegemeinschaften in Form von Zuschüssen, günstigen Krediten und Bürgschaften zugutekommen. Diese sollen vor allem für Planungen, Bürgerbeteiligung und Infrastrukturaufbau wie Wärmenetze und Quartierenergiespeicher eingesetzt werden. Einkommensschwache Haushalte müssen bevorzugt bedacht werden.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Wir sind für den Ausbau erneuerbarer Energien, allerdings muss dafür der Ausbau Energiespeichern und Netzen höchste Priorität bekommen, da diese Teile des Energiesystems im Moment unterentwickelt sind. Wir plädieren für eine Überarbeitung der Marktmechanismen und Anreizsysteme, um Fehlentwicklungen beim Ausbau erneuerbarer Erzeugung, wie ungenutzte Überangebote, zu reduzieren.
18;Bündnis C;Bündnis C - Christen für Deutschland;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;
19;BP;Bayernpartei;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Die globale Umweltkatastrophe hat bereits begonnen. Die Beschlüsse der Pariser Klimakonferenz sind völlig unzureichend. In Europa hat sich das Klima schon um 2,2 Grad gegenüber dem vorindustriellen Zeitalter erwärmt. Eine sofortige Umstellung auf Auf- und Ausbau der Energieerzeugung auf Sonnen-, Wind-, Wellen- und Wasserkraft sowie Erdwärme ist dringend notwendig und möglich.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Die Förderung sollte sich auf die Netzstabilität, Speicherung und Grundlastkapazitäten konzentrieren. Die Versorgung mit bezahlbaren Energiepreisen sollte für private Haushalte wie auch die Wirtschaft möglich sein. Darüber hinaus sollte die Erforschung von neuen Technologien staatlich unterstützt werden. Zum Beispiel durch Erforschung und Bau der neuesten Kernreaktoren, die ohne das Risiko einer Kernschmelze betrieben werden können.
22;PdF;Partei des Fortschritts;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Der Ausbau erneuerbarer Energien ist essenziell, um Klimaziele zu erreichen und die Abhängigkeit von fossilen Energieträgern zu reduzieren. Staatliche Förderung beschleunigt Genehmigungsverfahren, unterstützt den Netzausbau und macht Investitionen in Speichertechnologien und private Solarprojekte attraktiver.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Um den Klimawandel zu stoppen, müssen die großen Konzerne und die Superreichen zahlen, die ihn mit ihrer Profitgier hauptsächlich verursachen. Eine Produktion, die im Einklang mit einer gesunden Umwelt steht, ist nur in einer rational und demokratisch geplanten Wirtschaft möglich, in der die Bedürfnisse der Menschen höher stehen als die Profitinteressen der Reichen.
24;BüSo;Bürgerrechtsbewegung Solidarität;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Unzuverlässigkeit und physikalische Ineffizienz (u.a. zu niedrige Energieflußdichten) können auch durch Subventionen nicht überwunden werden. Schluß mit der Abzocke, die vor allem gigantische Summen in private internationale Spekulationsfonds geschaufelt und unsere Volkswirtschaft ruiniert haben.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Nach Jahrzehnten staatlicher Förderung ist es an der Zeit, dass sich die erneuerbaren Energien ohne Subventionen am Markt behaupten. Wir fordern die Abschaffung von Subventionen für Windenergie- und Solarstrom.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Der Ausbau der erneuerbaren Energien ist sinnvoll, die EEG-Umlage lehnen wir allerdings ab, denn sie verteuert den Strom für die Endkunden.
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme zu;Die Energiewende bedarf eines Neudenkens des Energiemarktes, in dem Bürger:innen und Gemeinden als Lieferant:innen und Abnehmer:innen eingebunden werden. Dies ist auf Grundlage der aktuellen Gesetze nicht möglich. Gesetze und Verordnungen dürfen den Ausbau von erneuerbaren Energien nicht verlangsamen oder verhindern und müssen entsprechend angepasst werden. Wir wollen diese Anpassungen mittels Bürger:innenversammlungen unter Einbindung der regional betroffenen Menschen durchführen.
28;WerteUnion;WerteUnion;2;Erneuerbare Energien;Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.;stimme nicht zu;Die WerteUnion fordert den Stopp des Baus weiterer Windkraft- und Photovoltaikanlagen in Wäldern und auf naturnahen Flächen und ein Ende der Subventionen. Denn Wind- und Sonnenkraftwerke verschlingen Unsummen an Subventionen mit erwiesenen negativen Auswirkungen auf die Umwelt und die Versorgungssicherheit. Im freien Markt werden sich die besten Lösungen durchsetzen.
1;SPD;Sozialdemokratische Partei Deutschlands;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Die allermeisten Menschen im Bürgergeldbezug, die arbeiten können, wollen auch arbeiten. Wir beteiligen uns nicht an Versuchen, Geringverdiener gegen die auszuspielen, die noch weniger haben. Das Bürgergeld ist eine steuerfinanzierte Grundsicherung. Deswegen wird von arbeitsfähigen Personen zu Recht Mitwirkung eingefordert, natürlich in den Grenzen, die das Bundesverfassungsgericht gesetzt hat.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;3;Streichung des Bürgergelds;Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.;stimme zu;Wer arbeiten kann, soll auch arbeiten. Wenn jemand grundsätzlich nicht bereit ist, Arbeit anzunehmen, muss der Staat davon ausgehen, dass er nicht bedürftig ist. Dann muss die Grundsicherung komplett gestrichen werden.
